dataset,conf,Fold,Rep,RMSE_cv,RMSE_train,RMSE_test
concrete,"{'population_size': 100, 'init_type': 2, 'p_crossover': 0.5, 'max_depth_creation': 5, 'tournament_size': 4, 'zero_depth': 0, 'mutation_step': 1.0, 'num_random_constants': 0, 'min_random_constant': -100, 'max_random_constant': 100, 'minimization_problem': 1, 'random_tree': 500, 'max_number_generations': 1000, 'p_mutation': 0.5}",0,0,7.6773120000000015,7.38828,7.38939
concrete,"{'population_size': 100, 'init_type': 2, 'p_crossover': 0.5, 'max_depth_creation': 5, 'tournament_size': 4, 'zero_depth': 0, 'mutation_step': 1.0, 'num_random_constants': 0, 'min_random_constant': -100, 'max_random_constant': 100, 'minimization_problem': 1, 'random_tree': 500, 'max_number_generations': 1000, 'p_mutation': 0.5}",0,1,7.6773120000000015,7.7081399999999975,7.62655
concrete,"{'population_size': 100, 'init_type': 2, 'p_crossover': 0.5, 'max_depth_creation': 5, 'tournament_size': 4, 'zero_depth': 0, 'mutation_step': 1.0, 'num_random_constants': 0, 'min_random_constant': -100, 'max_random_constant': 100, 'minimization_problem': 1, 'random_tree': 500, 'max_number_generations': 1000, 'p_mutation': 0.5}",0,2,7.6773120000000015,7.64683,7.47125
concrete,"{'population_size': 100, 'init_type': 2, 'p_crossover': 0.5, 'max_depth_creation': 5, 'tournament_size': 4, 'zero_depth': 0, 'mutation_step': 1.0, 'num_random_constants': 0, 'min_random_constant': -100, 'max_random_constant': 100, 'minimization_problem': 1, 'random_tree': 500, 'max_number_generations': 1000, 'p_mutation': 0.5}",0,3,7.6773120000000015,7.1380399999999975,7.30094
concrete,"{'population_size': 100, 'init_type': 2, 'p_crossover': 0.5, 'max_depth_creation': 5, 'tournament_size': 4, 'zero_depth': 0, 'mutation_step': 1.0, 'num_random_constants': 0, 'min_random_constant': -100, 'max_random_constant': 100, 'minimization_problem': 1, 'random_tree': 500, 'max_number_generations': 1000, 'p_mutation': 0.5}",0,4,7.6773120000000015,8.1462,9.61725
concrete,"{'population_size': 100, 'init_type': 2, 'p_crossover': 0.5, 'max_depth_creation': 5, 'tournament_size': 4, 'zero_depth': 0, 'mutation_step': 1.0, 'num_random_constants': 0, 'min_random_constant': -100, 'max_random_constant': 100, 'minimization_problem': 1, 'random_tree': 500, 'max_number_generations': 1000, 'p_mutation': 0.5}",0,5,7.6773120000000015,8.00928,8.12111
concrete,"{'population_size': 100, 'init_type': 2, 'p_crossover': 0.2, 'max_depth_creation': 5, 'tournament_size': 4, 'zero_depth': 0, 'mutation_step': 1.0, 'num_random_constants': 0, 'min_random_constant': -100, 'max_random_constant': 100, 'minimization_problem': 1, 'random_tree': 500, 'max_number_generations': 1000, 'p_mutation': 0.8}",1,0,7.639098,7.08864,7.37587
concrete,"{'population_size': 100, 'init_type': 2, 'p_crossover': 0.2, 'max_depth_creation': 5, 'tournament_size': 4, 'zero_depth': 0, 'mutation_step': 1.0, 'num_random_constants': 0, 'min_random_constant': -100, 'max_random_constant': 100, 'minimization_problem': 1, 'random_tree': 500, 'max_number_generations': 1000, 'p_mutation': 0.8}",1,1,7.639098,7.24297,7.76094
concrete,"{'population_size': 100, 'init_type': 2, 'p_crossover': 0.2, 'max_depth_creation': 5, 'tournament_size': 4, 'zero_depth': 0, 'mutation_step': 1.0, 'num_random_constants': 0, 'min_random_constant': -100, 'max_random_constant': 100, 'minimization_problem': 1, 'random_tree': 500, 'max_number_generations': 1000, 'p_mutation': 0.8}",1,2,7.639098,6.96167,7.37096
concrete,"{'population_size': 100, 'init_type': 2, 'p_crossover': 0.2, 'max_depth_creation': 5, 'tournament_size': 4, 'zero_depth': 0, 'mutation_step': 1.0, 'num_random_constants': 0, 'min_random_constant': -100, 'max_random_constant': 100, 'minimization_problem': 1, 'random_tree': 500, 'max_number_generations': 1000, 'p_mutation': 0.8}",1,3,7.639098,7.19487,7.39375
concrete,"{'population_size': 100, 'init_type': 2, 'p_crossover': 0.2, 'max_depth_creation': 5, 'tournament_size': 4, 'zero_depth': 0, 'mutation_step': 1.0, 'num_random_constants': 0, 'min_random_constant': -100, 'max_random_constant': 100, 'minimization_problem': 1, 'random_tree': 500, 'max_number_generations': 1000, 'p_mutation': 0.8}",1,4,7.639098,8.09868,8.21313
concrete,"{'population_size': 100, 'init_type': 2, 'p_crossover': 0.2, 'max_depth_creation': 5, 'tournament_size': 4, 'zero_depth': 0, 'mutation_step': 1.0, 'num_random_constants': 0, 'min_random_constant': -100, 'max_random_constant': 100, 'minimization_problem': 1, 'random_tree': 500, 'max_number_generations': 1000, 'p_mutation': 0.8}",1,5,7.639098,6.69915,7.042560000000001
concrete,"{'population_size': 100, 'init_type': 2, 'p_crossover': 0.5, 'max_depth_creation': 5, 'tournament_size': 4, 'zero_depth': 0, 'mutation_step': 1.0, 'num_random_constants': 0, 'min_random_constant': -100, 'max_random_constant': 100, 'minimization_problem': 1, 'random_tree': 500, 'max_number_generations': 1000, 'p_mutation': 0.5}",2,0,7.824389999999997,7.44768,9.12813
concrete,"{'population_size': 100, 'init_type': 2, 'p_crossover': 0.5, 'max_depth_creation': 5, 'tournament_size': 4, 'zero_depth': 0, 'mutation_step': 1.0, 'num_random_constants': 0, 'min_random_constant': -100, 'max_random_constant': 100, 'minimization_problem': 1, 'random_tree': 500, 'max_number_generations': 1000, 'p_mutation': 0.5}",2,1,7.8243899999999975,6.969289999999999,8.253789999999999
concrete,"{'population_size': 100, 'init_type': 2, 'p_crossover': 0.5, 'max_depth_creation': 5, 'tournament_size': 4, 'zero_depth': 0, 'mutation_step': 1.0, 'num_random_constants': 0, 'min_random_constant': -100, 'max_random_constant': 100, 'minimization_problem': 1, 'random_tree': 500, 'max_number_generations': 1000, 'p_mutation': 0.5}",2,2,7.824389999999997,10.1168,12.5088
concrete,"{'population_size': 100, 'init_type': 2, 'p_crossover': 0.5, 'max_depth_creation': 5, 'tournament_size': 4, 'zero_depth': 0, 'mutation_step': 1.0, 'num_random_constants': 0, 'min_random_constant': -100, 'max_random_constant': 100, 'minimization_problem': 1, 'random_tree': 500, 'max_number_generations': 1000, 'p_mutation': 0.5}",2,3,7.8243899999999975,7.41511,8.63935
concrete,"{'population_size': 100, 'init_type': 2, 'p_crossover': 0.5, 'max_depth_creation': 5, 'tournament_size': 4, 'zero_depth': 0, 'mutation_step': 1.0, 'num_random_constants': 0, 'min_random_constant': -100, 'max_random_constant': 100, 'minimization_problem': 1, 'random_tree': 500, 'max_number_generations': 1000, 'p_mutation': 0.5}",2,4,7.824389999999997,7.03545,8.43436
concrete,"{'population_size': 100, 'init_type': 2, 'p_crossover': 0.5, 'max_depth_creation': 5, 'tournament_size': 4, 'zero_depth': 0, 'mutation_step': 1.0, 'num_random_constants': 0, 'min_random_constant': -100, 'max_random_constant': 100, 'minimization_problem': 1, 'random_tree': 500, 'max_number_generations': 1000, 'p_mutation': 0.5}",2,5,7.8243899999999975,6.08825,7.13505
concrete,"{'population_size': 100, 'init_type': 2, 'p_crossover': 0.2, 'max_depth_creation': 5, 'tournament_size': 4, 'zero_depth': 0, 'mutation_step': 1.0, 'num_random_constants': 0, 'min_random_constant': -100, 'max_random_constant': 100, 'minimization_problem': 1, 'random_tree': 500, 'max_number_generations': 1000, 'p_mutation': 0.8}",3,0,7.506947999999999,6.26227,6.805510000000001
