dataset,conf,Fold,Rep,RMSE_cv,RMSE_train,RMSE_test
concrete,0,2,3,7.68019474072531,2.991114659826552,7.466720729452836
concrete,0,2,4,7.68019474072531,2.991114659826552,7.735034613634855
concrete,0,2,5,7.68019474072531,2.991114659826552,7.516863567769431
concrete,0,3,0,6.701704476527965,2.9817728241846715,6.614183794089663
concrete,0,3,1,6.701704476527965,2.9817728241846715,6.276748826853619
concrete,0,3,2,6.701704476527965,2.9817728241846715,6.178689646216665
concrete,0,3,3,6.701704476527965,2.9817728241846715,6.206887495027391
concrete,0,3,4,6.701704476527965,2.9817728241846715,6.226460166538055
concrete,0,3,5,6.701704476527965,2.9817728241846715,6.620602754166229
concrete,0,4,0,7.19607832644031,2.5995067333223187,6.290413475716554
concrete,0,4,1,7.19607832644031,2.5995067333223187,6.268157946793571
concrete,0,4,2,7.19607832644031,2.5995067333223187,6.268157946793571
concrete,0,4,3,7.19607832644031,2.5995067333223187,6.277399737328628
concrete,0,4,4,7.19607832644031,2.5995067333223187,6.265210147286053
concrete,0,4,5,7.19607832644031,2.5995067333223187,6.277399737328627
energyCooling,1,0,0,1.9254390264639831,1.5670920654628333,2.1209154840469466
energyCooling,1,0,1,1.9254390264639831,1.5670920654628335,2.120915484046947
energyCooling,1,0,2,1.9254390264639831,1.5670920654628333,2.1209154840469466
energyCooling,1,0,3,1.9254390264639831,1.5670920654628333,2.120915484046947
energyCooling,1,0,4,1.9254390264639831,1.5670920654628333,2.1209154840469475
energyCooling,1,0,5,1.9254390264639831,1.5670920654628335,2.120915484046947
energyCooling,1,1,0,2.018645195939007,1.7439875295397822,1.7305828347075338
energyCooling,1,1,1,2.018645195939007,1.7439875295397824,1.7305828347075336
energyCooling,1,1,2,2.018645195939007,1.7439875295397824,1.7305828347075332
energyCooling,1,1,3,2.018645195939007,1.7439875295397824,1.7305828347075338
energyCooling,1,1,4,2.018645195939007,1.7439875295397824,1.7305828347075336
energyCooling,1,1,5,2.018645195939007,1.7439875295397824,1.7305828347075338
energyCooling,1,2,0,2.021567088402394,1.7550885078551006,1.782956925332526
energyCooling,1,2,1,2.021567088402394,1.7550885078551006,1.782956925332526
energyCooling,1,2,2,2.021567088402394,1.7550885078551008,1.782956925332526
energyCooling,1,2,3,2.021567088402394,1.7550885078551006,1.7829569253325261
